words,merged,repub_benshapiro,repub_charliekirk11,repub_danieljhannan,repub_DeAnna4Congress,repub_dineshdsouza,repub_drmartyfox,repub_emfingersscout,repub_erictrump,repub_gopleader,repub_IngrahamAngle,repub_KellyannePolls,repub_lrihendry,repub_meghanmccain,repub_michellemalkin,repub_realdonaldtrump,repub_sarahpalinusa,repub_scrowder,repub_seanhannity,repub_tedcruz,repub_tuckercarlson
at,3.827267216425325,3.49763585724464,2.0085628204450554,3.538234051542036,3.256513026052104,3.2829569253410313,3.0153710377289107,3.1917980462327114,7.124798896805332,3.2501514901118274,3.8681841850777356,4.7299149986290105,2.4599428229506017,4.165013883379611,7.231567363622072,3.7886475881198836,4.269293924466338,5.832361273121147,3.395970115462984,2.8871779686111934,3.295750216825672
will,4.096287873624856,3.3033227540643826,3.27712881230509,2.4820447824250107,4.258517034068136,3.113148808513047,5.368831359858792,4.352451881226425,4.136980004596644,4.737508951688427,4.016960499888418,2.8790786948176583,5.9171597633136095,3.1072325796641547,5.580883508882251,8.321493809620458,2.5177887246852766,3.6660556573904346,2.829975096219153,3.7015102161681965,4.336513443191674
as,3.830854158521319,4.533972407539348,2.6957027327025744,5.914659907055344,3.089512358049432,5.4338597384955,3.3095535779951457,2.514749975819712,2.8345974105569605,3.5255880570704563,4.760842073941829,3.9073210858239653,4.255036234292932,4.561681872272907,2.9083477440653986,2.638522427440633,2.5177887246852766,4.082652891184802,4.867557165496944,3.405389398874741,3.3824804856895057
who,4.056831510568925,5.440766889047218,4.968550134785136,4.119138149556401,3.173012692050768,3.169751514122375,3.4566448481282634,2.708192281651997,3.0644296330345515,2.7543656695862944,4.016960499888418,4.661365505895256,4.520975998936241,4.429459209308475,6.7599434051249805,3.518029903254178,4.050355774493705,4.915847358773538,4.301562146253113,3.9976310334616523,2.862098872506505
from,4.031722915896968,4.210117235572252,4.228553306200116,3.5910435149978874,3.75751503006012,3.9055866870436406,5.295285724792233,2.9983557404004255,3.9071477821190532,4.4620723847297965,3.7194078702670534,4.524266520427749,3.989096469649624,3.3716779055930184,3.1441597233139444,4.397537379067723,4.159824849480022,4.999166805532411,3.622368123160516,4.960023689665384,2.862098872506505
all,3.8236802743293317,4.0805751667854135,2.9071303980125798,4.488804393747359,5.260521042084169,2.9999433972943907,5.663013900125027,4.449173034142567,5.05630889450701,1.3771828347931472,5.207171018373875,2.6048807238826432,4.720430822418722,6.875578474150469,4.794843578053765,3.3827210608213245,2.6272577996715927,3.499416763872688,1.3583880461851936,2.7391175599644657,2.0815264527320037
by,3.999440437033025,4.210117235572252,4.651408636820128,3.855090832277144,3.674014696058784,4.698024565574235,5.148194454659116,4.5458941870587095,2.9878188922086877,5.233294772213959,3.7194078702670534,3.9073210858239653,3.4572169403630078,3.1733439111463704,5.030655557302311,3.3827210608213245,2.2988505747126435,3.5827362106315612,3.622368123160516,4.441812259401836,2.948829141370338
their,3.131400449802539,2.785154478917028,4.915693218457635,2.6932826362484157,3.256513026052104,4.131997509480954,3.383099213061705,2.1278653641551406,2.6047651880793685,5.673993279347766,2.6779736665922784,2.2621332602138744,2.1940030583072936,2.908898585217506,4.087407640308128,2.435559163791354,1.6420361247947455,2.582902849525079,1.1319900384876613,3.183298785904649,3.1222896790980053
people,3.160095986570489,4.793056545113026,4.281410222527618,5.016899028305873,2.6720106880427523,2.207505518763797,3.4566448481282634,2.6114711287358547,2.4515437064276413,3.0848895499366495,2.6035855091869373,1.7137373183438442,2.792367528754737,3.2394552426285865,1.7292878478226694,4.532846221500575,2.6272577996715927,2.666222296283953,2.2639800769753227,2.8131477642878293,3.816131830008673
has,3.5403118487458256,3.951033097998575,3.27712881230509,4.647232784114913,3.173012692050768,2.7735325748570783,3.383099213061705,3.0950768933165684,5.362751857810465,3.6357626838539083,2.529197351781596,4.18151905675898,4.388006116614587,3.0411212481819385,2.27951579940261,5.141736012448414,2.736726874657909,2.666222296283953,1.811184061580258,3.405389398874741,3.816131830008673
